asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN141430-30,13,maker,no,0.6104,0.5904,20,2.0,1,7.6179
BTC,KXBTC15M-26JUN141500-00,10,maker,yes,0.8494,0.8294,20,2.0,1,3.174
BTC,KXBTC15M-26JUN141500-00,11,maker,yes,0.8571,0.8371,20,2.0,1,3.0305
BTC,KXBTC15M-26JUN141515-15,10,maker,no,0.8879,0.8679,20,2.0,1,2.4574
BTC,KXBTC15M-26JUN141515-15,11,flat,no,0.7298,0.61,20.0,11.98,1,7.254
BTC,KXBTC15M-26JUN141515-15,11,tt,no,0.7298,0.61,20.0,11.98,1,7.254
BTC,KXBTC15M-26JUN141515-15,11,dynamic,no,0.7298,0.61,138.74,11.98,1,50.3204
BTC,KXBTC15M-26JUN141515-15,11,maker,no,0.7298,0.7098,20,2.0,1,5.3983
BTC,KXBTC15M-26JUN141515-15,12,maker,no,0.7532,0.7332,20,2.0,1,4.9619
BTC,KXBTC15M-26JUN141515-15,13,maker,no,0.7018,0.6818,20,2.0,1,5.9179
BTC,KXBTC15M-26JUN141530-30,10,maker,yes,0.5197,0.4997,20,2.0,0,-9.9931
BTC,KXBTC15M-26JUN141530-30,11,maker,yes,0.4757,0.4557,20,2.0,0,-9.1149
BTC,KXBTC15M-26JUN141530-30,12,maker,yes,0.4264,0.4064,20,2.0,0,-8.1277
BTC,KXBTC15M-26JUN141530-30,13,maker,no,0.6315,0.6115,20,2.0,1,7.2266
BTC,KXBTC15M-26JUN141545-45,11,maker,no,0.4277,0.4077,20,2.0,1,11.0166
BTC,KXBTC15M-26JUN142000-00,13,flat,yes,0.9802,0.7214,0.0,25.88,1,0.0
BTC,KXBTC15M-26JUN142000-00,13,dynamic,yes,0.9802,0.7214,0.0,25.88,1,0.0
BTC,KXBTC15M-26JUN142015-15,10,flat,yes,0.7316,0.54,20.0,19.16,1,8.556
BTC,KXBTC15M-26JUN142015-15,10,tt,yes,0.7316,0.54,20.0,19.16,1,8.556
BTC,KXBTC15M-26JUN142015-15,10,dynamic,yes,0.7316,0.54,155.79,19.16,1,66.6451
BTC,KXBTC15M-26JUN142015-15,10,maker,yes,0.7316,0.7116,20,2.0,1,5.3642
BTC,KXBTC15M-26JUN142015-15,11,maker,no,0.202,0.182,20,2.0,0,-3.6395
BTC,KXBTC15M-26JUN142015-15,12,maker,yes,0.836,0.816,20,2.0,1,3.4227
BTC,KXBTC15M-26JUN142015-15,13,maker,yes,0.8423,0.8223,20,2.0,1,3.3051
BTC,KXBTC15M-26JUN142030-30,10,maker,no,0.8445,0.8245,20,2.0,1,3.265
BTC,KXBTC15M-26JUN142030-30,11,maker,yes,0.1608,0.1408,20,2.0,0,-2.8169
BTC,KXBTC15M-26JUN142030-30,12,flat,yes,0.4993,0.06,20.0,43.93,0,-1.2
BTC,KXBTC15M-26JUN142030-30,12,tt,yes,0.4993,0.06,20.0,43.93,0,-1.2
BTC,KXBTC15M-26JUN142030-30,12,dynamic,yes,0.4993,0.0678,2123.67,43.93,0,-144.0249
BTC,KXBTC15M-26JUN142030-30,12,maker,yes,0.4993,0.4793,20,2.0,0,-9.5856
BTC,KXBTC15M-26JUN142030-30,13,flat,yes,0.5509,0.01,20.0,54.09,0,-0.2
BTC,KXBTC15M-26JUN142030-30,13,tt,yes,0.5509,0.01,20.0,54.09,0,-0.2
BTC,KXBTC15M-26JUN142030-30,13,dynamic,yes,0.5509,0.0189,7729.55,54.09,0,-146.3447
BTC,KXBTC15M-26JUN142030-30,13,maker,yes,0.5509,0.5309,20,2.0,0,-10.6186
BTC,KXBTC15M-26JUN142045-45,12,flat,no,0.9805,0.8419,0.0,13.87,1,0.0
BTC,KXBTC15M-26JUN142045-45,12,dynamic,no,0.9805,0.8419,0.0,13.87,1,0.0
BTC,KXBTC15M-26JUN142045-45,13,flat,no,0.9812,0.8419,0.0,13.93,1,0.0
BTC,KXBTC15M-26JUN142045-45,13,dynamic,no,0.9812,0.8419,0.0,13.93,1,0.0
BTC,KXBTC15M-26JUN142100-00,10,maker,yes,0.9557,0.9357,20,2.0,1,1.1966
BTC,KXBTC15M-26JUN142100-00,13,flat,yes,0.9606,0.6585,0.0,30.21,1,0.0
BTC,KXBTC15M-26JUN142100-00,13,dynamic,yes,0.9606,0.6585,0.0,30.21,1,0.0
BTC,KXBTC15M-26JUN142130-30,10,maker,no,0.9185,0.8985,20,2.0,1,1.8871
BTC,KXBTC15M-26JUN142145-45,13,flat,yes,0.9801,0.6989,0.0,28.12,1,0.0
BTC,KXBTC15M-26JUN142145-45,13,dynamic,yes,0.9801,0.6989,0.0,28.12,1,0.0
BTC,KXBTC15M-26JUN142200-00,13,flat,no,0.9612,0.6643,0.0,29.69,1,0.0
BTC,KXBTC15M-26JUN142200-00,13,dynamic,no,0.9612,0.6643,0.0,29.69,1,0.0
BTC,KXBTC15M-26JUN142215-15,13,flat,yes,0.9535,0.6224,0.0,33.11,1,0.0
BTC,KXBTC15M-26JUN142215-15,13,dynamic,yes,0.9535,0.6224,0.0,33.11,1,0.0
BTC,KXBTC15M-26JUN142230-30,10,flat,no,0.7369,0.38,20.0,35.69,1,11.532
