window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-20T20:15:00+00:00,KXBTC15M-26MAY201630-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+107.6799,no_bet,,
2026-05-20T21:00:00+00:00,KXBTC15M-26MAY201715-15,yes,2,0,2,28.5937,0.0000,28.5937,+15.1285,+0.0000,+15.1285,+122.8084,net_win,11,yes
2026-05-20T21:15:00+00:00,KXBTC15M-26MAY201730-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+122.8084,no_bet,,
2026-05-20T21:30:00+00:00,KXBTC15M-26MAY201745-45,no,1,0,1,23.4412,0.0000,23.4412,-23.4412,+0.0000,-23.4412,+99.3672,net_loss,10,yes
2026-05-20T21:45:00+00:00,KXBTC15M-26MAY201800-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+99.3672,no_bet,,
2026-05-20T22:00:00+00:00,KXBTC15M-26MAY201815-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+99.3672,no_bet,,
2026-05-20T22:15:00+00:00,KXBTC15M-26MAY201830-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+99.3672,no_bet,,
2026-05-20T22:30:00+00:00,KXBTC15M-26MAY201845-45,yes,0,1,1,0.0000,16.8982,16.8982,+0.0000,-16.8982,-16.8982,+82.4690,net_loss,13,no
2026-05-20T22:45:00+00:00,KXBTC15M-26MAY201900-00,yes,0,1,1,0.0000,9.7377,9.7377,+0.0000,-9.7377,-9.7377,+72.7312,net_loss,10,no
2026-05-20T23:00:00+00:00,KXBTC15M-26MAY201915-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+72.7312,no_bet,,
2026-05-20T23:15:00+00:00,KXBTC15M-26MAY201930-30,no,1,0,1,8.4020,0.0000,8.4020,-8.4020,+0.0000,-8.4020,+64.3292,net_loss,10,yes
2026-05-20T23:30:00+00:00,KXBTC15M-26MAY201945-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3292,no_bet,,
2026-05-20T23:45:00+00:00,KXBTC15M-26MAY202000-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3292,no_bet,,
2026-05-21T00:00:00+00:00,KXBTC15M-26MAY202015-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3292,no_bet,,
2026-05-21T00:15:00+00:00,KXBTC15M-26MAY202030-30,yes,1,1,2,27.5966,10.4945,38.0911,+10.4828,-10.4945,-0.0117,+64.3175,net_loss,11,no
2026-05-21T00:45:00+00:00,KXBTC15M-26MAY202100-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T01:00:00+00:00,KXBTC15M-26MAY202115-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T01:15:00+00:00,KXBTC15M-26MAY202130-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T01:30:00+00:00,KXBTC15M-26MAY202145-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T01:45:00+00:00,KXBTC15M-26MAY202200-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T02:00:00+00:00,KXBTC15M-26MAY202215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T02:15:00+00:00,KXBTC15M-26MAY202230-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T02:30:00+00:00,KXBTC15M-26MAY202245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T02:45:00+00:00,KXBTC15M-26MAY202300-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.3175,no_bet,,
2026-05-21T03:00:00+00:00,KXBTC15M-26MAY202315-15,no,1,1,2,9.5171,11.2877,20.8047,-9.5171,+10.0859,+0.5688,+64.8863,net_win,10,no
2026-05-21T03:15:00+00:00,KXBTC15M-26MAY202330-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.8863,no_bet,,
2026-05-21T03:30:00+00:00,KXBTC15M-26MAY202345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+64.8863,no_bet,,
2026-05-23T01:30:00+00:00,KXBTC15M-26MAY222145-45,no,0,1,1,0.0000,28.0431,28.0431,+0.0000,+44.4066,+44.4066,+109.2929,net_win,11,no
2026-05-23T01:45:00+00:00,KXBTC15M-26MAY222200-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+109.2929,no_bet,,
2026-05-23T02:00:00+00:00,KXBTC15M-26MAY222215-15,yes,1,0,1,8.9270,0.0000,8.9270,+5.0884,+0.0000,+5.0884,+114.3813,net_win,13,yes
2026-05-24T02:45:00+00:00,KXBTC15M-26MAY232300-00,yes,1,0,1,9.3909,0.0000,9.3909,+8.3911,+0.0000,+8.3911,+122.7724,net_win,13,yes
2026-05-25T02:00:00+00:00,KXBTC15M-26MAY242215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+122.7724,no_bet,,
2026-05-25T19:30:00+00:00,KXBTC15M-26MAY251545-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+122.7724,no_bet,,
2026-05-25T19:45:00+00:00,KXBTC15M-26MAY251600-00,yes,1,0,1,7.3497,0.0000,7.3497,+5.5925,+0.0000,+5.5925,+128.3648,net_win,10,yes
2026-05-25T20:00:00+00:00,KXBTC15M-26MAY251615-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+128.3648,no_bet,,
2026-05-25T20:15:00+00:00,KXBTC15M-26MAY251630-30,no,0,1,1,0.0000,14.8242,14.8242,+0.0000,+93.9209,+93.9209,+222.2857,net_win,11,no
