window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-20T22:30:00+00:00,KXBTC15M-26MAY201845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+108.3135,no_bet,,
2026-05-20T22:45:00+00:00,KXBTC15M-26MAY201900-00,yes,0,2,2,0.0000,9.9514,9.9514,+0.0000,-9.9514,-9.9514,+98.3620,net_loss,10,no
2026-05-20T23:00:00+00:00,KXBTC15M-26MAY201915-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+98.3620,no_bet,,
2026-05-20T23:15:00+00:00,KXBTC15M-26MAY201930-30,no,2,0,2,15.5052,0.0000,15.5052,-15.5052,+0.0000,-15.5052,+82.8569,net_loss,10,yes
2026-05-20T23:30:00+00:00,KXBTC15M-26MAY201945-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-20T23:45:00+00:00,KXBTC15M-26MAY202000-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T00:00:00+00:00,KXBTC15M-26MAY202015-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T00:15:00+00:00,KXBTC15M-26MAY202030-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T00:45:00+00:00,KXBTC15M-26MAY202100-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T01:00:00+00:00,KXBTC15M-26MAY202115-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T01:15:00+00:00,KXBTC15M-26MAY202130-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+82.8569,no_bet,,
2026-05-21T01:30:00+00:00,KXBTC15M-26MAY202145-45,yes,2,0,2,21.0341,0.0000,21.0341,+52.5772,+0.0000,+52.5772,+135.4340,net_win,10,yes
2026-05-21T01:45:00+00:00,KXBTC15M-26MAY202200-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+135.4340,no_bet,,
2026-05-21T02:00:00+00:00,KXBTC15M-26MAY202215-15,yes,1,0,1,11.7321,0.0000,11.7321,+19.3970,+0.0000,+19.3970,+154.8310,net_win,10,yes
2026-05-21T02:15:00+00:00,KXBTC15M-26MAY202230-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+154.8310,no_bet,,
2026-05-21T02:30:00+00:00,KXBTC15M-26MAY202245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+154.8310,no_bet,,
2026-05-21T02:45:00+00:00,KXBTC15M-26MAY202300-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+154.8310,no_bet,,
2026-05-21T03:00:00+00:00,KXBTC15M-26MAY202315-15,no,1,1,2,7.2328,11.0079,18.2407,-7.2328,+30.7121,+23.4793,+178.3103,net_win,12,yes
