asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
SOL,KXSOL15M-26JUN141815-15,12,flat,yes,0.3037,0.24,20.0,6.37,1,14.136
SOL,KXSOL15M-26JUN141815-15,12,dynamic,yes,0.3037,0.3592,950.12,6.37,1,566.2548
SOL,KXSOL15M-26JUN141845-45,12,flat,yes,0.8929,0.8097,0.0,8.32,1,0.0
SOL,KXSOL15M-26JUN141845-45,12,dynamic,yes,0.8929,0.8097,0.0,8.32,1,0.0
SOL,KXSOL15M-26JUN141845-45,13,flat,yes,0.9071,0.8097,0.0,9.73,1,0.0
SOL,KXSOL15M-26JUN141845-45,13,dynamic,yes,0.9071,0.8097,0.0,9.73,1,0.0
SOL,KXSOL15M-26JUN141900-00,10,flat,no,0.9514,0.82,20.0,13.14,1,3.348
SOL,KXSOL15M-26JUN141900-00,10,dynamic,no,0.9514,0.82,322.9,13.14,1,54.0535
SOL,KXSOL15M-26JUN141900-00,11,flat,no,0.9584,0.88,20.0,7.84,1,2.232
SOL,KXSOL15M-26JUN141900-00,11,dynamic,no,0.9584,0.88,264.74,7.84,1,29.5445
SOL,KXSOL15M-26JUN141900-00,13,flat,no,0.9674,0.7046,0.0,26.28,1,0.0
SOL,KXSOL15M-26JUN141900-00,13,dynamic,no,0.9674,0.7046,0.0,26.28,1,0.0
SOL,KXSOL15M-26JUN141300-00,12,flat,no,0.9718,0.8086,0.0,16.33,1,0.0
SOL,KXSOL15M-26JUN141300-00,12,dynamic,no,0.9718,0.8086,0.0,16.33,1,0.0
SOL,KXSOL15M-26JUN141300-00,13,flat,no,0.9727,0.8086,0.0,16.41,1,0.0
SOL,KXSOL15M-26JUN141300-00,13,dynamic,no,0.9727,0.8086,0.0,16.41,1,0.0
SOL,KXSOL15M-26JUN141315-15,12,flat,yes,0.8144,0.7514,0.0,6.3,1,0.0
SOL,KXSOL15M-26JUN141315-15,12,dynamic,yes,0.8144,0.7514,0.0,6.3,1,0.0
SOL,KXSOL15M-26JUN141315-15,13,flat,yes,0.8511,0.7514,0.0,9.97,1,0.0
SOL,KXSOL15M-26JUN141315-15,13,dynamic,yes,0.8511,0.7514,0.0,9.97,1,0.0
SOL,KXSOL15M-26JUN141330-30,10,flat,no,0.8998,0.83,20.0,6.98,1,3.162
SOL,KXSOL15M-26JUN141330-30,10,dynamic,no,0.8998,0.845,201.92,6.98,1,29.0974
SOL,KXSOL15M-26JUN141330-30,11,flat,no,0.9197,0.83,20.0,8.97,1,3.162
SOL,KXSOL15M-26JUN141330-30,11,dynamic,no,0.9197,0.83,178.65,8.97,1,28.2453
SOL,KXSOL15M-26JUN141330-30,13,flat,no,0.9423,0.698,0.0,24.43,1,0.0
SOL,KXSOL15M-26JUN141330-30,13,dynamic,no,0.9423,0.698,0.0,24.43,1,0.0
SOL,KXSOL15M-26JUN141400-00,13,flat,no,0.9687,0.6067,0.0,36.21,1,0.0
SOL,KXSOL15M-26JUN141400-00,13,dynamic,no,0.9687,0.6067,0.0,36.21,1,0.0
SOL,KXSOL15M-26JUN141415-15,13,flat,yes,0.8647,0.7651,0.0,9.96,1,0.0
SOL,KXSOL15M-26JUN141415-15,13,dynamic,yes,0.8647,0.7651,0.0,9.96,1,0.0
SOL,KXSOL15M-26JUN141430-30,12,flat,no,0.9553,0.9023,0.0,5.3,1,0.0
SOL,KXSOL15M-26JUN141430-30,12,dynamic,no,0.9553,0.9023,0.0,5.3,1,0.0
SOL,KXSOL15M-26JUN141445-45,12,flat,yes,0.9217,0.7694,0.0,15.23,1,0.0
SOL,KXSOL15M-26JUN141445-45,12,dynamic,yes,0.9217,0.7694,0.0,15.23,1,0.0
SOL,KXSOL15M-26JUN141445-45,13,flat,yes,0.9275,0.7694,0.0,15.8,1,0.0
SOL,KXSOL15M-26JUN141445-45,13,dynamic,yes,0.9275,0.7694,0.0,15.8,1,0.0
SOL,KXSOL15M-26JUN141500-00,11,flat,no,0.6146,0.5485,20.0,9.46,0,-10.97
SOL,KXSOL15M-26JUN141500-00,11,dynamic,no,0.6146,0.5499,220.96,9.46,0,-121.4983
SOL,KXSOL15M-26JUN141500-00,12,flat,no,0.7207,0.44,20.0,28.07,0,-8.8
SOL,KXSOL15M-26JUN141500-00,12,dynamic,no,0.7207,0.476,339.14,28.07,0,-161.4218
SOL,KXSOL15M-26JUN141500-00,13,flat,no,0.7614,0.09,20.0,67.14,0,-1.8
SOL,KXSOL15M-26JUN141500-00,13,dynamic,no,0.7614,0.17,649.35,67.14,0,-110.3995
SOL,KXSOL15M-26JUN141515-15,12,flat,yes,0.648,0.4909,0.0,15.71,1,0.0
SOL,KXSOL15M-26JUN141515-15,12,dynamic,yes,0.648,0.4909,0.0,15.71,1,0.0
SOL,KXSOL15M-26JUN141515-15,13,flat,yes,0.7202,0.4909,0.0,22.93,1,0.0
SOL,KXSOL15M-26JUN141515-15,13,dynamic,yes,0.7202,0.4909,0.0,22.93,1,0.0
SOL,KXSOL15M-26JUN141600-00,10,flat,no,0.8228,0.5785,20.0,26.28,1,7.8399
SOL,KXSOL15M-26JUN141600-00,10,dynamic,no,0.8228,0.5799,217.5,26.28,1,84.9832
SOL,KXSOL15M-26JUN141600-00,11,flat,no,0.7757,0.7285,20.0,7.57,1,5.0499
SOL,KXSOL15M-26JUN141600-00,11,dynamic,no,0.7757,0.7452,154.74,7.57,1,36.6737
SOL,KXSOL15M-26JUN142000-00,13,flat,yes,0.9109,0.7195,0.0,19.14,1,0.0
SOL,KXSOL15M-26JUN142000-00,13,dynamic,yes,0.9109,0.7195,0.0,19.14,1,0.0
SOL,KXSOL15M-26JUN142015-15,13,flat,yes,0.7392,0.6795,0.0,5.96,1,0.0
SOL,KXSOL15M-26JUN142015-15,13,dynamic,yes,0.7392,0.6795,0.0,5.96,1,0.0
SOL,KXSOL15M-26JUN142030-30,10,flat,no,0.9367,0.87,20.0,6.67,0,-17.4
SOL,KXSOL15M-26JUN142030-30,10,dynamic,no,0.9367,0.87,414.76,6.67,0,-360.8441
SOL,KXSOL15M-26JUN142045-45,11,flat,no,0.9792,0.7191,0.0,26.01,1,0.0
SOL,KXSOL15M-26JUN142045-45,11,dynamic,no,0.9792,0.7191,0.0,26.01,1,0.0
SOL,KXSOL15M-26JUN142045-45,12,flat,no,0.9806,0.7191,0.0,26.16,1,0.0
SOL,KXSOL15M-26JUN142045-45,12,dynamic,no,0.9806,0.7191,0.0,26.16,1,0.0
SOL,KXSOL15M-26JUN142045-45,13,flat,no,0.9812,0.7191,0.0,26.22,1,0.0
SOL,KXSOL15M-26JUN142045-45,13,dynamic,no,0.9812,0.7191,0.0,26.22,1,0.0
SOL,KXSOL15M-26JUN142100-00,13,flat,yes,0.8889,0.6668,0.0,22.21,1,0.0
SOL,KXSOL15M-26JUN142100-00,13,dynamic,yes,0.8889,0.6668,0.0,22.21,1,0.0
SOL,KXSOL15M-26JUN142200-00,13,flat,no,0.9414,0.7066,0.0,23.48,1,0.0
SOL,KXSOL15M-26JUN142200-00,13,dynamic,no,0.9414,0.7066,0.0,23.48,1,0.0
SOL,KXSOL15M-26JUN142215-15,12,flat,yes,0.9567,0.8467,0.0,11.01,1,0.0
SOL,KXSOL15M-26JUN142215-15,12,dynamic,yes,0.9567,0.8467,0.0,11.01,1,0.0
SOL,KXSOL15M-26JUN142215-15,13,flat,yes,0.9589,0.8467,0.0,11.22,1,0.0
SOL,KXSOL15M-26JUN142215-15,13,dynamic,yes,0.9589,0.8467,0.0,11.22,1,0.0
SOL,KXSOL15M-26JUN142230-30,10,flat,no,0.7345,0.61,20.0,12.45,1,7.254
SOL,KXSOL15M-26JUN142230-30,10,dynamic,no,0.7345,0.6625,692.45,12.45,1,217.3218
SOL,KXSOL15M-26JUN142230-30,11,flat,no,0.7931,0.3225,20.0,49.31,1,12.6015
SOL,KXSOL15M-26JUN142230-30,11,dynamic,no,0.7931,0.4035,980.46,49.31,1,543.9153
SOL,KXSOL15M-26JUN142230-30,12,flat,no,0.8348,0.21,20.0,62.48,1,14.694
SOL,KXSOL15M-26JUN142230-30,12,dynamic,no,0.8348,0.267,1127.74,62.48,1,768.815
SOL,KXSOL15M-26JUN142230-30,13,flat,no,0.8646,0.29,20.0,57.46,1,13.206
SOL,KXSOL15M-26JUN142230-30,13,dynamic,no,0.8646,0.529,1006.42,57.46,1,440.8401
SOL,KXSOL15M-26JUN142300-00,11,flat,no,0.9482,0.892,0.0,5.62,1,0.0
SOL,KXSOL15M-26JUN142300-00,11,dynamic,no,0.9482,0.892,0.0,5.62,1,0.0
SOL,KXSOL15M-26JUN142300-00,12,flat,no,0.9537,0.892,0.0,6.17,1,0.0
SOL,KXSOL15M-26JUN142300-00,12,dynamic,no,0.9537,0.892,0.0,6.17,1,0.0
SOL,KXSOL15M-26JUN142300-00,13,flat,no,0.9585,0.892,0.0,6.65,1,0.0
SOL,KXSOL15M-26JUN142300-00,13,dynamic,no,0.9585,0.892,0.0,6.65,1,0.0
SOL,KXSOL15M-26JUN142315-15,12,flat,yes,0.9637,0.8522,0.0,11.15,1,0.0
SOL,KXSOL15M-26JUN142315-15,12,dynamic,yes,0.9637,0.8522,0.0,11.15,1,0.0
SOL,KXSOL15M-26JUN142315-15,13,flat,yes,0.967,0.8522,0.0,11.48,1,0.0
SOL,KXSOL15M-26JUN142315-15,13,dynamic,yes,0.967,0.8522,0.0,11.48,1,0.0
SOL,KXSOL15M-26JUN142345-45,11,flat,yes,0.7678,0.56,20.0,20.78,1,8.184
SOL,KXSOL15M-26JUN142345-45,11,dynamic,yes,0.7678,0.5846,652.06,20.78,1,251.9124
SOL,KXSOL15M-26JUN142345-45,12,flat,yes,0.7945,0.68,20.0,11.45,1,5.952
SOL,KXSOL15M-26JUN142345-45,12,dynamic,yes,0.7945,0.8058,442.04,11.45,1,79.8215
SOL,KXSOL15M-26JUN142345-45,13,flat,yes,0.862,0.3372,0.0,52.48,1,0.0
SOL,KXSOL15M-26JUN142345-45,13,dynamic,yes,0.862,0.3372,0.0,52.48,1,0.0
SOL,KXSOL15M-26JUN150030-30,13,flat,no,0.6666,0.4665,0.0,20.0,1,0.0
SOL,KXSOL15M-26JUN150030-30,13,dynamic,no,0.6666,0.4665,0.0,20.0,1,0.0
SOL,KXSOL15M-26JUN150045-45,12,flat,no,0.8758,0.7136,0.0,16.21,1,0.0
SOL,KXSOL15M-26JUN150045-45,12,dynamic,no,0.8758,0.7136,0.0,16.21,1,0.0
SOL,KXSOL15M-26JUN150045-45,13,flat,no,0.8915,0.7136,0.0,17.79,1,0.0
SOL,KXSOL15M-26JUN150045-45,13,dynamic,no,0.8915,0.7136,0.0,17.79,1,0.0
SOL,KXSOL15M-26JUN150100-00,10,flat,yes,0.9448,0.61,20.0,33.48,1,7.254
SOL,KXSOL15M-26JUN150100-00,10,dynamic,yes,0.9448,0.61,264.84,33.48,1,96.0564
XRP,KXXRP15M-26JUN141615-15,10,flat,no,0.8661,0.56,20.0,30.61,1,8.184
XRP,KXXRP15M-26JUN141615-15,10,dynamic,no,0.8661,0.5636,373.63,30.61,1,151.6473
XRP,KXXRP15M-26JUN141615-15,11,flat,no,0.8877,0.49,20.0,39.77,1,9.486
XRP,KXXRP15M-26JUN141615-15,11,dynamic,no,0.8877,0.4908,447.52,39.77,1,211.9217
XRP,KXXRP15M-26JUN141615-15,12,flat,no,0.8282,0.53,20.0,29.82,1,8.742
XRP,KXXRP15M-26JUN141615-15,12,dynamic,no,0.8282,0.5608,330.05,29.82,1,134.8047
XRP,KXXRP15M-26JUN141615-15,13,flat,no,0.8316,0.77,20.0,6.16,1,4.278
XRP,KXXRP15M-26JUN141615-15,13,dynamic,no,0.8316,0.7804,204.54,6.16,1,41.7747
XRP,KXXRP15M-26JUN141630-30,11,flat,yes,0.9574,0.6233,0.0,33.41,1,0.0
XRP,KXXRP15M-26JUN141630-30,11,dynamic,yes,0.9574,0.6233,0.0,33.41,1,0.0
XRP,KXXRP15M-26JUN141630-30,12,flat,yes,0.9611,0.6233,0.0,33.78,1,0.0
XRP,KXXRP15M-26JUN141630-30,12,dynamic,yes,0.9611,0.6233,0.0,33.78,1,0.0
XRP,KXXRP15M-26JUN141645-45,12,flat,yes,0.9197,0.7888,0.0,13.08,1,0.0
XRP,KXXRP15M-26JUN141645-45,12,dynamic,yes,0.9197,0.7888,0.0,13.08,1,0.0
XRP,KXXRP15M-26JUN141700-00,10,flat,no,0.786,0.67,20.0,11.6,1,6.138
XRP,KXXRP15M-26JUN141700-00,10,dynamic,no,0.786,0.67,273.8,11.6,1,84.0288
XRP,KXXRP15M-26JUN141700-00,11,flat,no,0.8335,0.77,20.0,6.35,1,4.278
XRP,KXXRP15M-26JUN141700-00,11,dynamic,no,0.8335,0.77,231.58,6.35,1,49.535
XRP,KXXRP15M-26JUN141700-00,13,flat,no,0.8921,0.7006,0.0,19.15,1,0.0
XRP,KXXRP15M-26JUN141700-00,13,dynamic,no,0.8921,0.7006,0.0,19.15,1,0.0
XRP,KXXRP15M-26JUN141715-15,12,flat,yes,0.9513,0.86,0.0,9.13,1,0.0
XRP,KXXRP15M-26JUN141715-15,12,dynamic,yes,0.9513,0.86,0.0,9.13,1,0.0
XRP,KXXRP15M-26JUN141715-15,13,flat,yes,0.9515,0.86,0.0,9.15,1,0.0
XRP,KXXRP15M-26JUN141715-15,13,dynamic,yes,0.9515,0.86,0.0,9.15,1,0.0
XRP,KXXRP15M-26JUN141800-00,13,flat,no,0.2115,0.05,20.0,16.15,0,-1.0
XRP,KXXRP15M-26JUN141800-00,13,dynamic,no,0.2115,0.0834,1248.64,16.15,0,-104.1547
XRP,KXXRP15M-26JUN141830-30,10,flat,yes,0.9321,0.65,20.0,28.21,1,6.51
XRP,KXXRP15M-26JUN141830-30,10,dynamic,yes,0.9321,0.65,428.97,28.21,1,139.6303
XRP,KXXRP15M-26JUN141830-30,13,flat,yes,0.7445,0.51,20.0,23.45,1,9.114
XRP,KXXRP15M-26JUN141830-30,13,dynamic,yes,0.7445,0.5652,266.6,23.45,1,107.8049
XRP,KXXRP15M-26JUN141845-45,10,flat,yes,0.9195,0.85,20.0,6.95,1,2.79
XRP,KXXRP15M-26JUN141845-45,10,dynamic,yes,0.9195,0.8575,98.28,6.95,1,13.0282
XRP,KXXRP15M-26JUN141930-30,11,flat,yes,0.8925,0.6892,0.0,20.33,1,0.0
XRP,KXXRP15M-26JUN141930-30,11,dynamic,yes,0.8925,0.6892,0.0,20.33,1,0.0
XRP,KXXRP15M-26JUN141930-30,12,flat,yes,0.9185,0.6892,0.0,22.93,1,0.0
XRP,KXXRP15M-26JUN141930-30,12,dynamic,yes,0.9185,0.6892,0.0,22.93,1,0.0
