window_ts,mode,ticker,close_time,btc_t0,btc_t5,btc_t10,n_yes_bets,n_no_bets,total_bets,total_yes_stake,total_no_stake,total_wagered,settlement_ts,market_winner,yes_pnl,no_pnl,total_pnl,outcome,cumulative_pnl
2026-05-02T06:30:00+00:00,dh-target,KXBTC15M-26MAY020245-45,2026-05-02T06:45:00Z,78149.96,78162.8,78205.93,4,0,4,63.3888,0.0,63.3888,2026-05-02T06:45:25.583857+00:00,yes,23.9075,0,23.9075,net_win,1259.5795
2026-05-02T06:45:00+00:00,dh-target,KXBTC15M-26MAY020300-00,2026-05-02T07:00:00Z,78229.49,78296.28,78314.79,5,0,5,123.3483,0.0,123.3483,2026-05-02T07:02:13.418915+00:00,unknown,0.0,0,0.0,net_win,1259.5795
2026-05-02T07:00:00+00:00,dh-target,KXBTC15M-26MAY020315-15,2026-05-02T07:15:00Z,78328.56,78310.18,78305.8,0,2,2,0.0,52.5195,52.5195,2026-05-02T07:15:25.706218+00:00,no,0,30.7447,30.7447,net_win,1290.3242
2026-05-02T07:15:00+00:00,dh-target,KXBTC15M-26MAY020330-30,2026-05-02T07:30:00Z,78310.48,78310.19,78326.99,1,1,2,51.2313,53.0894,104.3207,2026-05-02T07:30:25.625002+00:00,yes,43.9793,-53.091,-9.1117,net_loss,1281.2125
2026-05-02T07:30:00+00:00,dh-target,KXBTC15M-26MAY020345-45,2026-05-02T07:45:00Z,78319.47,78289.55,78230.6,0,5,5,0.0,124.953,124.953,2026-05-02T07:45:25.693071+00:00,no,0,10.838,10.838,net_win,1292.0505
2026-05-02T07:45:00+00:00,dh-target,KXBTC15M-26MAY020400-00,2026-05-02T08:00:00Z,78219.92,78230.59,78206.64,2,1,3,72.8074,63.2884,136.0957,2026-05-02T08:00:25.523473+00:00,no,-72.8078,81.2822,8.4744,net_win,1300.5249
2026-05-02T08:00:00+00:00,dh-target,KXBTC15M-26MAY020415-15,2026-05-02T08:15:00Z,78212.66,78200.55,,0,1,1,0.0,38.237,38.237,2026-05-02T08:15:25.699946+00:00,yes,0,-38.2347,-38.2347,net_loss,1262.2902
2026-05-02T08:15:00+00:00,dh-target,KXBTC15M-26MAY020430-30,2026-05-02T08:30:00Z,78257.26,78247.9,78291.69,3,1,4,60.7821,41.2124,101.9944,2026-05-02T08:30:24.143498+00:00,yes,39.4027,-41.2115,-1.8088,net_loss,1260.4814
2026-05-02T08:30:00+00:00,dh-target,KXBTC15M-26MAY020445-45,2026-05-02T08:45:00Z,78280.97,78295.16,78341.38,2,0,2,67.3512,0.0,67.3512,2026-05-02T08:45:24.168867+00:00,yes,33.9091,0,33.9091,net_win,1294.3905
2026-05-02T08:45:00+00:00,dh-target,KXBTC15M-26MAY020500-00,2026-05-02T09:00:00Z,78327.21,78327.16,78286.46,1,2,3,47.9301,90.3684,138.2986,2026-05-02T09:00:24.138540+00:00,no,-47.9325,465.1569,417.2244,net_win,1711.6149
