window_ts,timestamp,mode,ticker,close_time,direction,btc_t0,btc_t5,btc_price_age_secs,abs_pct_move,yes_bid,yes_ask,spread,kalshi_yes_t5,mispricing,f_btc,g_misprice,stake,fill_price,count,order_id,order_result,settlement_ts,market_winner,outcome,pnl,cumulative_pnl
2026-05-04T08:45:00+00:00,dh-target,KXBTC15M-26MAY040500-00,2026-05-04T09:00:00Z,645,79701.38,79718.55,0.18,0.021543,0.64,0.65,0.01,0.645,yes,14.8835,0.0,0.0,36.1675,yes,0.012197,0.89449,1.048749,14.8835,0.67,22,paper,paper
2026-05-04T08:45:00+00:00,dh-target,KXBTC15M-26MAY040500-00,2026-05-04T09:00:00Z,645,79701.38,79718.55,0.17,0.021543,0.64,0.65,0.01,0.645,yes,6.9456,0.0,0.0,16.8782,yes,0.012197,0.89449,1.048749,6.9456,0.67,10,b901165a-dc86-4c32-b6ac-e4908bffa272,ok
2026-05-04T08:45:00+00:00,dh-target,KXBTC15M-26MAY040500-00,2026-05-04T09:00:00Z,660,79701.38,79755.22,0.4,0.067552,0.86,0.87,0.01,0.865,yes,36.9168,0.0,14.8835,36.1675,yes,-0.062465,2.658055,0.755213,22.0333,0.89,25,paper,paper
2026-05-04T08:45:00+00:00,dh-target,KXBTC15M-26MAY040500-00,2026-05-04T09:00:00Z,660,79701.38,79755.22,0.39,0.067552,0.86,0.87,0.01,0.865,yes,17.2278,0.0,6.9456,16.8782,yes,-0.062465,2.658055,0.755213,10.2822,0.89,12,bf3a0d8c-e637-44b4-8687-6d6f052d3a71,ok
2026-05-04T08:45:00+00:00,dh-target,KXBTC15M-26MAY040500-00,2026-05-04T09:00:00Z,750,79701.38,79743.41,0.6,0.052734,0.88,0.89,0.01,0.885,yes,40.3086,0.0,36.9168,36.1675,yes,-0.029283,2.872441,0.883401,3.3918,0.91,4,paper,paper
2026-05-04T09:00:00+00:00,dh-target,KXBTC15M-26MAY040515-15,2026-05-04T09:15:00Z,240,79700.5,79759.52,0.43,0.074052,0.62,0.63,0.01,0.625,yes,10.8401,0.0,0.0,0.0,yes,0.014044,0.684274,1.056117,10.8401,0.65,17,paper,paper
2026-05-04T09:00:00+00:00,dh-target,KXBTC15M-26MAY040515-15,2026-05-04T09:15:00Z,270,79700.5,79777.64,0.09,0.096787,0.74,0.75,0.01,0.745,yes,12.933,0.0,10.8401,0.0,yes,-0.075882,1.050955,0.705462,2.0929,0.77,3,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,300,79714.78,79706.18,0.97,0.010788,0.44,0.45,0.01,0.445,no,0.0,4.4457,0.0,0.0,no,0.021416,0.233603,1.085455,4.4457,0.58,8,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,330,79714.78,79734.08,0.38,0.024211,0.59,0.61,0.02,0.6,yes,5.3348,0.0,0.0,4.4457,yes,-0.01349,0.307486,0.946092,5.3348,0.63,8,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,420,79714.78,79706.41,0.44,0.0105,0.45,0.46,0.01,0.455,no,0.0,6.7816,5.3348,4.4457,no,0.054563,0.354865,1.214851,2.3359,0.57,4,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,525,79714.78,79698.5,0.31,0.020423,0.38,0.39,0.01,0.385,no,0.0,9.8086,5.3348,6.7816,no,0.007321,0.523709,1.029276,3.0271,0.64,5,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,555,79714.78,79706.55,0.63,0.010324,0.44,0.45,0.01,0.445,no,0.0,12.1087,5.3348,9.8086,no,0.086667,0.712378,1.333417,2.3001,0.58,4,paper,paper
